entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B
71991	0.131121319626427	3.42741335002507	0.719585383595593	0.492366425767712	0.560055442142427	-7.3093559212795
71101	-0.184395529068605	4.64608676918263	-0.718879421766353	0.492778154564903	0.560478766614088	-7.46330443028658
78321	-0.164822856141515	2.68250275688118	-0.718533872691709	0.4929797651274	0.560663056847019	-7.12538608209703
66695	-0.370454250949135	1.26010624239872	-0.718163264039062	0.493196055514764	0.560864011429563	-6.92474628428319
81018	0.102991731256591	6.7463082135291	0.717406378339574	0.493637969570621	0.561321493053532	-7.54661425776268
66615	-0.0784114802695228	5.6309851158755	-0.71716782972199	0.493777300778552	0.561434858366366	-7.54077864208637
12850	-0.13681245787711	3.43283619706768	-0.716653862948635	0.494077583565057	0.561706158018283	-7.30048936993911
55950	-0.0950685778378935	3.80242820605345	-0.716623690026344	0.494095215595327	0.561706158018283	-7.35941714778406
210105	-0.097294763783399	4.08673243627409	-0.716128756421337	0.494384495510926	0.561989918859825	-7.40107470229287
140780	0.106904994424787	4.93346231368589	0.715926243485987	0.49450289199704	0.562072991250614	-7.50435865457291
81000	0.0785973245744165	6.09265653890419	0.715777852771723	0.494589658173904	0.562072991250614	-7.55027701131614
215436	0.0877453268152646	4.11234990190339	0.715741804691595	0.494610737474394	0.562072991250614	-7.40493593172804
57741	-0.0899125257824451	6.45477813467291	-0.715732298749591	0.494616296218772	0.562072991250614	-7.55063041713684
98417	0.0890135639248912	5.38439400293932	0.715494199144343	0.494755541636813	0.56218612604568	-7.52956957040214
17189	-0.148616486825907	1.89684097187414	-0.714782253803395	0.495172051198175	0.562614270090812	-6.97975413788924
75731	-0.104014781329441	3.46124494117247	-0.714671331899377	0.495236964060836	0.562634975622202	-7.27955141137078
21847	-0.134160905739149	8.65015536776516	-0.714615371462084	0.495269714862918	0.562634975622202	-7.46387252099372
207965	-0.111617539112805	3.18862159350915	-0.713721016166737	0.49579332357622	0.563184637406347	-7.26516867408869
100271841	-0.215767421530433	1.09905246426638	-0.713644656764076	0.495838045297386	0.56319027436753	-6.76474839928878
100040929	0.165789605944025	0.596370295251603	0.713297667010517	0.496041300671579	0.563375964080574	-6.86638714792366
75614	-0.177158539713257	0.939922623261098	-0.712508604731377	0.49650370598111	0.563822724637622	-6.8299104857593
